Age,Sex,JOB,HOUSING,Savings account$Checking account,Credit amount,Duration,Purpose,risk
67,male,skilled,OWN,little/little,1169,6,radio/TV,0
22,female,skilled,OWN,little/moderate,5951,48,radio/TV,1
49,male,unskilled,OWN,little/little,2096,12,education,0
45,male,skilled,FREE,little/little,7882,42,furniture/equipment,0
53,male,skilled,FREE,little/little,4870,24,car,1
35,male,unskilled,FREE,little/moderate,9055,36,education,0
53,male,skilled,OWN,quite rich/moderate,2835,24,furniture/equipment,0
35,male,highly skilled,RENT,little/moderate,6948,36,car,0
61,male,unskilled,OWN,rich/moderate,3059,12,radio/TV,0
28,male,highly skilled,OWN,little/moderate,5234,30,car,1
25,female,skilled,RENT,little/moderate,1295,12,car,1
24,,skilled,RENT,little/little,4308,48,business,1
22,female,skilled,OWN,little/moderate,1567,12,radio/TV,0
60,male,unskilled,OWN,little/little,1199,24,car,1
,female,skilled,RENT,little/little,1403,15,car,0
32,female,unskilled,OWN,moderate/little,1282,24,radio/TV,1
53,male,skilled,OWN,little/moderate,2424,24,radio/TV,0
25,male,skilled,OWN,little/little,8072,30,business,0
44,female,highly skilled,FREE,little/moderate,12579,24,car,1
31,male,skilled,OWN,quite rich/moderate,3430,24,radio/TV,0
48,male,skilled,OWN,little/little,2134,9,car,0
44,male,skilled,RENT,quite rich/little,2647,6,radio/TV,0
48,male,unskilled,RENT,little/little,2241,10,car,0
44,male,skilled,OWN,moderate/moderate,1804,12,car,0
26,male,skilled,OWN,little/moderate,2069,10,furniture/equipment,0
36,male,unskilled,OWN,little/little,1374,6,furniture/equipment,0
39,male,unskilled,OWN,little/little,426,6,radio/TV,0
42,female,skilled,RENT,rich/rich,409,12,radio/TV,0
34,male,skilled,OWN,little/moderate,2415,7,radio/TV,0
63,male,skilled,OWN,little/little,6836,60,business,1
36,male,skilled,OWN,rich/moderate,1913,18,business,0
27,male,skilled,OWN,little/little,4020,24,furniture/equipment,0
30,male,skilled,OWN,moderate/moderate,5866,18,car,0
57,male,unskilled,RENT,little/moderate,1264,12,business,0
33,female,highly_skilled,OWN,little/rich,1474,12,furniture/equipment,0
25,male,unskilled,OWN,little/moderate,4746,45,radio/TV,1
31,male,skilled,FREE,little/little,6110,48,education,0
37,male,skilled,OWN,little/rich,2100,18,radio/TV,1
37,male,skilled,OWN,little/rich,1225,10,domestic appliances,0
,male,skilled,OWN,little/moderate,458,9,radio/TV,0
30,male,highly_skilled,OWN,quite rich/moderate,2333,30,radio/TV,0
26,male,skilled,OWN,quite rich/moderate,1158,12,radio/TV,0
44,male,unskilled,OWN,little/moderate,6204,18,repairs,0
24,male,skilled,RENT,moderate/little,6187,30,car,0
58,female,unskilled,FREE,little/little,6143,48,car,1
35,female,highly_skilled,OWN,little/little,1393,11,car,0
39,male,skilled,OWN,quite rich/moderate,2299,36,radio/TV,0
23,female,unskilled,RENT,quite rich/little,1352,6,car,0
39,male,unskilled,OWN,little/little,7228,11,car,0
28,female,skilled,OWN,moderate/moderate,2073,12,radio/TV,0
29,male,unskilled,OWN,little/moderate,2333,24,furniture/equipment,0
30,male,highly_skilled,OWN,little/moderate,5965,27,car,0
25,male,skilled,OWN,little/little,1262,12,?,0
31,male,skilled,OWN,little/moderate,3378,18,car,0
57,male,skilled,FREE,little/moderate,2225,36,car,1
26,male,unskilled,OWN,little/moderate,783,6,car,0
,male,highly_skilled,OWN,little/moderate,6468,12,radio/TV,1
31,female,skilled,OWN,little/little,9566,36,radio/TV,0
23,female,highly_skilled,OWN,little/rich,1961,18,car,0
23,female,unskilled,RENT,little/little,6229,36,furniture/equipment,1
27,male,skilled,OWN,little/moderate,1391,9,business,0
50,male,skilled,OWN,little/moderate,1537,15,radio/TV,0
61,male,highly skilled,FREE,little/moderate,1953,36,business,1
25,male,skilled,OWN,little/moderate,14421,48,business,1
26,female,skilled,OWN,little/little,3181,24,radio/TV,0
48,male,skilled,OWN,little/moderate,5190,27,repairs,0
29,female,skilled,OWN,little/little,2171,12,radio/TV,0
22,male,skilled,OWN,rich/moderate,1007,12,car,0
37,male,skilled,FREE,little/little,1819,36,education,1
25,female,skilled,OWN,little/moderate,2394,36,radio/TV,0
30,female,skilled,OWN,little/little,8133,36,car,0
46,male,unskilled,RENT,little/moderate,730,7,radio/TV,0
51,male,highly skilled,FREE,little/little,1164,8,vacation/others,0
41,female,unskilled,OWN,little/moderate,5954,42,business,0
40,male,highly skilled,OWN,little/little,1977,36,education,1
66,male,highly skilled,FREE,little/little,1526,12,car,0
34,male,skilled,OWN,little/little,3965,42,radio/TV,1
51,male,skilled,OWN,little/moderate,4771,11,radio/TV,0
39,male,unskilled,OWN,little/moderate,9436,54,car,0
22,male,skilled,OWN,little/moderate,3832,30,furniture/equipment,0
44,female,skilled,OWN,little/moderate,5943,24,radio/TV,1
47,male,skilled,OWN,quite rich/moderate,1213,15,radio/TV,0
24,female,unskilled,RENT,moderate/moderate,1568,18,business,0
58,female,unskilled,OWN,little/little,1755,24,vacation/others,0
52,male,unskilled,OWN,little/little,2315,10,radio/TV,0
29,female,highly skilled,OWN,little/little,1412,12,?,0
27,female,skilled,OWN,little/moderate,1295,18,furniture/equipment,0
47,male,skilled,FREE,moderate/moderate,12612,36,education,1
30,male,highly skilled,OWN,moderate/little,2249,18,car,0
28,male,skilled,OWN,little/little,1108,12,repairs,1
56,male,skilled,OWN,little/little,618,12,radio/TV,0
54,male,skilled,OWN,little/little,1409,12,car,0
33,female,unskilled,OWN,little/moderate,797,12,radio/TV,1
